Content,label
bBackground information  Id like to talk to Ken about making the call    nIll see him at Exec comm todayn Forwarded by Steven J KeanHOUEES on 08142000 0854 nAM nnnRichard Shapiron08102000 0611 PMnTo Steven J KeanHOUEESEESncc Chris LongCorpEnronENRON nSubject CFTC ReauthorizationnnI agree w chriss recommendation you toon Forwarded by Richard ShapiroHOUEES on 08102000 n0610 PM nnChris LongENRONn08102000 0512 PMnnnTo Mark E HaedickeHOUECTECT Steven J KeanHOUEESEES Richard nShapiroHOUEESEES Mark TaylorHOUECTECT Joe HillingsCorpEnronENRON nCynthia SandherrCorpEnronENRON Tom BriggsNAEnronEnronncc raislerksullcromcom Allison NavinCorpEnronENRON nSubject CFTC ReauthorizationnnAt his request I met Lee Sachs Assistant Treasury Secretary who had nrequested the meeting after a brief conversation recently  Lee said that nseniorlevel negotiations led by Secretary Summers were initiated last week nbetween the CFTC and SEC and that progress was being made on the single stock nfutures issue the major issue postponing movement of the legislation  nnAs you know the House completed committee work on HR 4541 before it nrecessed  The bill will now is pending before the Rules Committee where ndifferences will be worked out between the three different Committee versions nAgriculture Commerce and Banking  The Senate Agriculture Committee npassed out the Senate version in July  However the bill is not moving nquickly in the Senate due to Senator Phil Gramms desire to see significant nchanges made to the legislation not directly related to our energy nlanguage Last week at the Republican Convention I asked the Senator about nthe bill and he said they were working on it but much needs to be changed nfor his support  More telling perhaps were Wendy Gramms comments that she nwould rather the current bill die if a better bill can be passed next year  nWhat this means is that we must at the least remove Senator Gramms nopposition to the bill to move the process and more importantly seek to gain nhis support of the legislationnnLee Sachs message was just that  I told Lee that we shared his desire to nmove the legislation as long as it contains a full exclusion for all nnonagriculture commodities including metals  He said that we would have a ndifficult time defending the metals provision politically But Lee said  we nwould not find Treasury opposition to the House Commerce Committee language nwhich includes favourable language on energy and metals   This is a npositive development because it isolates the CFTC from its key defenders and nI hope ensures no veto threat on our issues  However I do not expect nTreasury to be vocal in support of our position  It is clear that nCongressional leaders and the Administration want to get this bill done this nyear and there remains a good opportunity for enactmentnnHowever with less than 20 or so legislative days left we need Senator Gramm nto engage  A call from Ken Lay in the next two weeks to Senator Gramm could nbe an impetus for Gramm to move his staff to resolve the differences  Gramm nneeds to fully understand how helpful the bill is to Enron  Let me know your nthoughts on this approach   I am prepared to assist in coordinating the call nand drafting the talking points for a Ken LaySen Gramm calln    nnnnnnn,1
bSee attached WSJ article particularly the last paragraph  The message is nthere has not been enough deregulation  the government is still very much in nthe way  California is a perfect example  the market has responded to ndemand increases with thousands of megawatts of new generation but state and nlocal officials have not sited them and companies like Enron are offering nprice protection but utilities are not allowed to take advantagen Forwarded by Steven J KeanHOUEES on 08142000 1038 nAM nnnGavin DillinghamENRONDEVELOPMENTn08142000 0832 AMnTo Joe HartsoeENRON Sandra McCubbinEES Susan MaraEES Paul KaufmanECT nKaren DenneENRON Jeff DasovichEES Mark PalmerENRON James D SteffesEES nSteven J KeanEES Richard ShapiroEES Elizabeth LinnellEES Jeannie nMandelkerECT filuntzaolcomncc  nSubject California Power IssuennAttached is an article about deregulation price volatility California power nissues and how EES and other energy management type of companies are helping nwith solve these problems nnnnAttached is an article about how PGE is offering incentives to its larger ncustomers in California that which asks them to use less energy in turn the ncustomers are guaranteed to be blackout free There is a little controversy nover this issue because the incentive is not offered to small business or nresidents nn,1
bI believe we should back Massey as well  Who do we weigh in with nownnnnnJoe HartsoeENRONn08152000 0827 AMnTo Steven J KeanHOUEESEES Richard ShapiroHOUEESEES James D nSteffesHOUEESEESncc  nSubject Bill MasseynnSteveRickJim    Talked to John Anderson yesterday  He had just gotten noff the phone with Massey  Massey believes Linda B  is spending time at the nWhite House lobbying to be Chair   Have we decided whether to back either nand if so which  I would prefer backing Massey  Thoughts   JOE  n2024669150   n Forwarded by Joe HartsoeCorpEnron on 08152000 n0913 AM nnnjanderson jandersonelconorg on 08142000 030528 PMnTo jhartsoenroncomncc  nnSubject Bill MasseynnnJoennAs you are probably aware Jim Hoecker is considering leaving FERCnrelatively soon  The President will then name a new Chairman  Bill Masseynis quite interested in receiving the nominationnnPlease call to discussnnJohnnnnn,1
bfyin Forwarded by Steven J KeanHOUEES on 08162000 0723 nAM nFrom Lance SchulerLegalECT on 08152000 0514 PMnTo Frank SayreENRONDEVELOPMENTENRONDEVELOPMENT Bruce nLundstromENRONDEVELOPMENTENRONDEVELOPMENT Daniel R nRogersENRONDEVELOPMENTENRONDEVELOPMENT Sandeep nKatwalaENRONDEVELOPMENTENRONDEVELOPMENT Robert C nWilliamsENRONDEVELOPMENTENRONDEVELOPMENT Gail nBrownfeldENRONDEVELOPMENTENRONDEVELOPMENT Steven J KeanHOUEESEES nRichard ShapiroHOUEESEES John NovakSAEnronEnron Robert H nGeorgeSAEnronEnron John LambEWCEnronENRON Stephen nWallaceCorpEnronENRON Frank SmithCorpEnronENRON David nNuttCorpEnronENRON Charles CheekCorpEnronENRON Mary nJoyceHRCorpEnronENRON Aaron BrownHRCorpEnronENRON Bob nButtsGPGFINEnronENRON James L BouillionHOUECTECT Cullen nDukeENRONDEVELOPMENTENRONDEVELOPMENTncc  nSubject Schedule for the SchedulesnnThe current schedule contemplates sending a draft of the Disclosure Schedules nto Skadden by the end of the day on Friday  Please provide any remaining ncomments to the draft Schedules as soon as you can  I realize there will nstill be some holes as we continue to negotiate the Purchase and Sale nAgreement  No doubt it would help to have the Appendices to the Purchase and nSale Agreement completed or say maybe a dollar amount or two completed in nthe Definitions section  Thanks for all the help  Lancen,1
b Forwarded by Steven J KeanHOUEES on 08182000 0222 nPM nnnSteven J Keann08142000 0542 PMnSent by Maureen McVickernTo Executive Committeencc Gavin DillinghamENRONDEVELOPMENTENRONDEVELOPMENT Joseph P nHirlAPENRONENRON Jeannie MandelkerHOUECTECT Nicholas nODayAPEnronEnron Mark SchroederLONECTECT Richard nShapiroHOUEESEES James D SteffesHOUEESEES nSubject Talking Points re reregulation in CaliforniannAs I promised this morning at the executive committee meeting below are some ntalking points for your usennOverall message  the market is working regulation is notnnIn California peak demand rose by 10 over the last 4 years while new ncapacity grew by only 2  But as you would expect the market responded by nproposing 8000MW of new generation   more than enough to offset the peak ndemand growth  The regulatory process at both the state and local level nhas failed to site this new generation  The problem is regulation not nderegulationnnWhen San Diego customers began experiencing the effects of higher prices nEnron responded with a fixed price which would have shielded San Diego ncustomers from price volatility and provided prices below their current nsummer levels Enrons price was about 55MWH  After publication of nEnrons offer nine other companies made offers  Again the market responded nwhere regulation failed  San Diego has not accepted any of these offers nbecause of regulatorylegislative restrictions on its ability to buy outside nof the PX ie the spot marketnnIn markets where siting is easier suppliers have moved to build additional ngeneration  Enron built 3 plants in response to the 1998 price spikes  nThose plants were planned sited and built in less that 12 months   in time nfor the summer of 1999  Where regulatory hurdles are lower the market nrespondsnnThe solution to current pricing and reliability issues is more competition nnot reregulation  Policy makers shouldnnOpen the transmission grid so that power can get from where it is to where it nis needednnExpedite interconnection of new generationnnExpedite siting of new facilitiesnnGive customers a choice so that they have better access to demand side nsolutionsnnnAlso attached is a more detailed discussion of California prepared by Jeff nDasovich of our San Francisco officenn,1
b Forwarded by Steven J KeanHOUEES on 08182000 0223 nPM nFrom Tim BeldenECT on 08172000 0734 AM PDTnTo James D SteffesHOUEESEESncc Jeff DasovichSFOEESEES Mary HainHOUECTECT Susan J nMaraSFOEESEES Mona L PetrochkoSFOEESEES Bruno GaillardSFOEESEES nSarah NovoselCorpEnronENRONEES Paul KaufmanPDXECTECT Joe nHartsoeCorpEnronENRONEES Steven J KeanHOUEESEES Richard nShapiroHOUEESEES nSubject Re FERC INVESTIGATION IN CA  What should they be looking for  nnHere are some more thoughtsnFERC should take a hard look at why the ISO is almost always in an inc nsituation in real time  Without structural incentives to go short into real ntime I would expect the CAISO to inc in some hours and dec in others  nwith no consistent patternsnThe IOUs have four choices for purchasing power  PX Block Forward PX Day nAhead PX Day Of and CAISO Ex Post  They had ample opportunity to purchase nlower cost power in the PX Block Forward but didnt buy enough  That left nthem short in the Day Ahead  They can reduce Day Ahead prices by moving some nof their load to the Ex Post market  Dave Parquet did an Econ 101 npresentation on this incentive at the CAISO board meeting in JunenThe ISO remains primarily in inc mode even during the shoulder months when nprices are lower another indicator that the real time inc problem is ndriven by the load side rather than the supply side  The IOUs continue to ngo short into the ISO Ex Post market even when the CAISO Ex Post price is nconsistently above the PX Day Ahead pricenThere is evidence that the IOUs are not willing to pay above the CAISO price ncap for energy from the PX in the Day Ahead market  Does it matter that the nprice cap for the ISO also acts as a PX price capnThe NOx market in California is very tight  How has this contributed to nhigher costs and has the complete lack of available NOx credits prevented any ngenerators from runningnHow large was the impact of the below normal water year on the supply side  nThe attached presentation quantifies this effect in the Northwest  I have a ntheory on how hydro capacity completely overstates reserve margins in the nwest from an economic perspective  I can go into more detail if you wishnFriction between California PX and ISO markets and other western markets  nFor example why are actual flows going into the state yet prices out side of nthe state are higher  Another example of anomylous behavior is at COB on n811 and 812  There was congestion from California TO the northwest those ndays in the Day Ahead market  In real time the NW ended up being a net nseller of about 3000 MW from the NW TO CalifornianDemand Side  we really need to press on this issue because all of the nproponents of price caps claim that as soon as the demand side is workably ncompetitive then there is no need for price caps  Is largescale economic ndemand response required for a competitive market  What if demand response nis there but at very high prices  The demand response in California is a njoke  With 2700 MW of interuptible why did the utilities and the CAISO only nget around 600 MW of economic demand response  Much of this response comes nat 1500MWh  The assymetric treatment of supply side resources and demand nside resources can be justified on environmental grounds but not economic ngrounds  So why this assymetric treatment  This gets to the question of the nfine line between scarcity rents which are ok and market power which is nnot  If power is scarce and demand truly values it at 1500MWh then nshouldnt that be the price  At what price would the rest of the ninteruptible load economically curtail  Bottom line  there are about 2000 nMW of load that should be able to respond to price signals that chooses not nto or values power at more than 1500MWhnBurden of proof  what empirical measures should be used to assess market npower  The reports published to date have been unimpressive  The Market nAnalysis Unit report for example does a bunch of handwaving and then nconcludes that there is market power  But they never explain why  I would nthink that proof might be something like this  Generator X sets price y of nthe time when loads exceed Z MWs  Or four generators set price 80 of the ntime when prices exceed 200MWh  They have all the data to be able to tell nyet they dont provide any empirical measures  The only test Ive heard of nso far is the UC Energy Institute report that demonstrates that generators nare submitting bids above their marginal cost  The PX report states that nsupply bids are fewer and at higher prices than last year  They fail to nmention the fact that there are 5000 fewer MW of hydro this year relative to nlastnnnnJames D SteffesEESn08172000 0618 AMnTo Tim BeldenHOUECTECT Jeff DasovichSFOEESEES Mary HainHOUECTECT nSusan J MaraSFOEESEES Mona L PetrochkoSFOEESEES Bruno nGaillardSFOEESEES Sarah NovoselCorpEnronENRON Paul nKaufmanPDXECTECT Joe HartsoeCorpEnronENRONncc Steven J KeanHOUEESEES Richard ShapiroHOUEESEES nSubject FERC INVESTIGATION IN CA  What should they be looking fornnAs we begin to meet with FERC Staff on the Wholesale market issues related to nCA problems I think that we need to put together a list of questions that nFERC needs to be asking Western power market participants  nnThe following are some questions that I think are important to have FERC ask nIm sure there are morenn1 Were California utilities underscheduling load into the PX day ahead nmarket  n2 How many MWs did the CA ISO procure during each hour during the Summer n2000  How does this compare with CA ISO procurement during 1999n3 Has PGE changed its bidding behavior associated with its Hydro facilities nin 2000  n3 Are there baseload facilities that were operated differently in 2000 than nin 1999n4 Were any generation plants offline due to unplanned maintenance during nSummer 2000n5 How did the CA ISO demand side program work  Why didnt more load nparticipate  n6 What options did SDGE have to hedge its retail rates  What were prices nin the CAL PX block forward market on Jan 15 2000 and May 15 2000n7 How high did natural gas prices go in California for generation during nSummer 2000n8 Were other Western power markets prices higher yearonyearn9 Did the CA ISO Board face political pressure to reduce bid caps  Is this nappropriate for a FERC jurisdictional entityn10 What specific details is SDGE referring to in its Complaint on nunworkably competitive CA ISO markets  Can these be fixed quicklynnPlease add other questionsnnJimn nnnn,1
bIn my interview I stressed that a big part of the communication problem is nthe narrow and impermanent nature of the information about whats going on at nEnron  Narrow because for every significant activity there are only a few nwho are in the loop and impermanent because very little information is ncommitted to writing most of it is exchanged in person or over the phone  nThis is I believe what lies at the heart of complaints about ncrossdepartment communication  We now have some solutions emerging  nsoftware that enables more people to record and post information in HTML nformat on company intranet sites  I suspect that using such tools will face ntwo obstacles learning how to use them ie theres a huge need for training nand making it part of our culture as a knowledgelearning organizationnnnnnRichard Amabilen08182000 0520 PMnTo Mike McConnellHOUECTECT Louise KitchenHOUECTECT David nGorteHOUECTECT Cindy OlsonCorpEnronENRON James nPrenticeGPGFINEnronENRON Jan JohnsonGPGFINEnronENRON Mark nKoenigCorpEnronENRON Sharon ButcherCorpEnronENRON Mary nClarkCorpEnronENRON Gina TaylorOTSEnronEnron Mike nStewartCorpEnronENRON Dave SchaferOTSEnronENRON David A nTerlipCorpEnronEnron Joe KishkillSAEnronEnron Marie nHejkaCorpEnronENRON Craig ChildersHOUEESEES Craig H nSutterHOUEESEES Kirk McDanielENRONDEVELOPMENTENRONDEVELOPMENT nKathleen A CookENRONDEVELOPMENTENRONDEVELOPMENT John nAmblerENRONDEVELOPMENTENRONDEVELOPMENT Keith nSparksENRONDEVELOPMENTENRONDEVELOPMENT James C nLewisENRONDEVELOPMENTENRONDEVELOPMENT Ray BennettHOUEESEES Joseph W nSuttonENRONDEVELOPMENTENRONDEVELOPMENT George WasaffNAEnronEnron nElizabeth TilneyHOUEESEES Michael R BrownLONECTECT Andrew S nFastowHOUECTECT Billy LemmonsCorpEnronENRON Steven J nKeanHOUEESEES Scott Yeagerees Eric ThodeCorpEnronENRON Marie nHejkaCorpEnronENRON Cynthia BarrowHRCorpEnronENRON John nThompsonLONECTECT Nigel SellensLONECTECT David OxleyHOUECTECT nDrew C LynchLONECTECT Marla BarnardEnron CommunicationsEnron nCommunications robertjonesenroncom Kimberly RizziHOUECTECT Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Janie nBonnardENRONDEVELOPMENTENRONDEVELOPMENT williewilliamsenroncom Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Tim ORourkeCorpEnronEnron nMiguel PadronSAEnronEnron Gerry ChathamCorpEnronENRON Cindy nSkinnerHOUECTECT Ranendra SenguptaENRONDEVELOPMENTENRONDEVELOPMENTncc ksargentcognitiveartscom nnSubject Computer Based Communications Training Initiative  Response nReminder for FeedbacknnThis is a reminder that we would like your feedbackinput on the items nmentioned below regarding the Computer Based Communications Training nInitiative  Please respond by the close of business Monday August 21 notherwise we will need to move ahead with the responses received by that timen             Dick Amabile n Forwarded by Richard AmabileHRCorpEnron on n08182000 0431 PM nnnRichard Amabilen08162000 0240 PMnTo Mike McConnellHOUECTECT Louise KitchenHOUECTECT David nGorteHOUECTECT Cindy OlsonCorpEnronENRON James nPrenticeGPGFINEnronENRON Jan JohnsonGPGFINEnronENRON Mark nKoenigCorpEnronENRON Sharon ButcherCorpEnronENRON Mary nClarkCorpEnronENRON Gina TaylorOTSEnronEnron Mike nStewartCorpEnronENRON Dave SchaferOTSEnronENRON David A nTerlipCorpEnronEnron Joe KishkillSAEnronEnron Richard nAmabileHRCorpEnronENRON Marie HejkaCorpEnronENRON Craig nChildersHOUEESEES Craig H SutterHOUEESEES Kirk nMcDanielENRONDEVELOPMENTENRONDEVELOPMENT Kathleen A nCookENRONDEVELOPMENTENRONDEVELOPMENT John nAmblerENRONDEVELOPMENTENRONDEVELOPMENT Keith nSparksENRONDEVELOPMENTENRONDEVELOPMENT James C nLewisENRONDEVELOPMENTENRONDEVELOPMENT Richard nLeibertENRONDEVELOPMENTENRONDEVELOPMENT Ray BennettHOUEESEES Joseph nW SuttonENRONDEVELOPMENTENRONDEVELOPMENT George WasaffNAEnronEnron nElizabeth TilneyHOUEESEES Michael R BrownLONECTECT Andrew S nFastowHOUECTECT Billy LemmonsCorpEnronENRON Steven J nKeanHOUEESEES Diane BazelidesHOUAZURIXAZURIX Scott Yeagerees Eric nThodeCorpEnronENRON Marie HejkaCorpEnronENRON Cynthia nBarrowHRCorpEnronENRON John ThompsonLONECTECT Nigel nSellensLONECTECT David OxleyHOUECTECT Drew C LynchLONECTECT Marla nBarnardEnron CommunicationsEnron Communications robertjonesenroncom nKimberly RizziHOUECTECT Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Janie nBonnardENRONDEVELOPMENTENRONDEVELOPMENT williewilliamsenroncom Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Tim ORourkeCorpEnronEnron nMiguel PadronSAEnronEnron Gerry ChathamCorpEnronENRON Cindy nSkinnerHOUECTECT Ranendra SenguptaENRONDEVELOPMENTENRONDEVELOPMENTncc ksargentcognitiveartscom nnSubject Computer Based Communications Training InitiativennAs agreed in our VV meeting today I have attached two items for your reviewn1 A list of those who have been interviewed or have been part of a focus ngroup on this subjectnnThe input from individuals on this list will be the basis for developing the n57 key scenarios that will be a part of the training  Please let me know if nyou feel we should include more people from your unit to insure that your nunits unique circumstances are appropriately taken into account  If so let nus know either their names or how you would like them to be identifiednnSome of the individuals on this list will be contacted as Subject Matter nExperts to help provide real Enron contexts for the scenarios as they are nfurther developednn2 A list of the first draft objectives for the program and 10 possible nscenariosnnSince we will only be able to have a total of about 57 scenarios in the nfinal version identify the 5  7 on this list of high level scenario ideas nthat will have the most impact on improving communications and the most napplicability to a range of managers across the Enron organization  Any nother feedback you can provide on the objectives or scenarios would be ngreatly appreciatednnWe are seeking to move forward with the development of scenarios by the nbeginning of next week  Therefore if you could provide your feedback on nboth of the items above by Friday August 18th it would be greatly nappreciatednn             Dick Amabilennnn,1
bMy message cut off  The conclusion is that while we continue to need to naddress the kinds of issues laid out in your recommnedations we need to look nat solutions which may go deeper to adress our communications problems    nsolutions which have become available only recently  Why not have these guys nfocus on an online training program to both teach people how to make ninformation available and accessible eg by recording information and nupdating on the intranet and demonstrating the importance of this activity nto the success of the organizationnnI think you and your team have done a fine job dealing with the traditional nand perhaps largely insoluble problems that this group wants to take on  I nam pessimistic that the program outlined below will provide anything other nthan marginal improvements   I am somewhat optimistic though that we may nbe able to bypass many of these problems and get to the heart of what people nare really complaining about in the survey by instituting real knowledge nmanagement at EnronnnnnnRichard Amabilen08182000 0520 PMnTo Mike McConnellHOUECTECT Louise KitchenHOUECTECT David nGorteHOUECTECT Cindy OlsonCorpEnronENRON James nPrenticeGPGFINEnronENRON Jan JohnsonGPGFINEnronENRON Mark nKoenigCorpEnronENRON Sharon ButcherCorpEnronENRON Mary nClarkCorpEnronENRON Gina TaylorOTSEnronEnron Mike nStewartCorpEnronENRON Dave SchaferOTSEnronENRON David A nTerlipCorpEnronEnron Joe KishkillSAEnronEnron Marie nHejkaCorpEnronENRON Craig ChildersHOUEESEES Craig H nSutterHOUEESEES Kirk McDanielENRONDEVELOPMENTENRONDEVELOPMENT nKathleen A CookENRONDEVELOPMENTENRONDEVELOPMENT John nAmblerENRONDEVELOPMENTENRONDEVELOPMENT Keith nSparksENRONDEVELOPMENTENRONDEVELOPMENT James C nLewisENRONDEVELOPMENTENRONDEVELOPMENT Ray BennettHOUEESEES Joseph W nSuttonENRONDEVELOPMENTENRONDEVELOPMENT George WasaffNAEnronEnron nElizabeth TilneyHOUEESEES Michael R BrownLONECTECT Andrew S nFastowHOUECTECT Billy LemmonsCorpEnronENRON Steven J nKeanHOUEESEES Scott Yeagerees Eric ThodeCorpEnronENRON Marie nHejkaCorpEnronENRON Cynthia BarrowHRCorpEnronENRON John nThompsonLONECTECT Nigel SellensLONECTECT David OxleyHOUECTECT nDrew C LynchLONECTECT Marla BarnardEnron CommunicationsEnron nCommunications robertjonesenroncom Kimberly RizziHOUECTECT Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Janie nBonnardENRONDEVELOPMENTENRONDEVELOPMENT williewilliamsenroncom Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Tim ORourkeCorpEnronEnron nMiguel PadronSAEnronEnron Gerry ChathamCorpEnronENRON Cindy nSkinnerHOUECTECT Ranendra SenguptaENRONDEVELOPMENTENRONDEVELOPMENTncc ksargentcognitiveartscom nnSubject Computer Based Communications Training Initiative  Response nReminder for FeedbacknnThis is a reminder that we would like your feedbackinput on the items nmentioned below regarding the Computer Based Communications Training nInitiative  Please respond by the close of business Monday August 21 notherwise we will need to move ahead with the responses received by that timen             Dick Amabile n Forwarded by Richard AmabileHRCorpEnron on n08182000 0431 PM nnnRichard Amabilen08162000 0240 PMnTo Mike McConnellHOUECTECT Louise KitchenHOUECTECT David nGorteHOUECTECT Cindy OlsonCorpEnronENRON James nPrenticeGPGFINEnronENRON Jan JohnsonGPGFINEnronENRON Mark nKoenigCorpEnronENRON Sharon ButcherCorpEnronENRON Mary nClarkCorpEnronENRON Gina TaylorOTSEnronEnron Mike nStewartCorpEnronENRON Dave SchaferOTSEnronENRON David A nTerlipCorpEnronEnron Joe KishkillSAEnronEnron Richard nAmabileHRCorpEnronENRON Marie HejkaCorpEnronENRON Craig nChildersHOUEESEES Craig H SutterHOUEESEES Kirk nMcDanielENRONDEVELOPMENTENRONDEVELOPMENT Kathleen A nCookENRONDEVELOPMENTENRONDEVELOPMENT John nAmblerENRONDEVELOPMENTENRONDEVELOPMENT Keith nSparksENRONDEVELOPMENTENRONDEVELOPMENT James C nLewisENRONDEVELOPMENTENRONDEVELOPMENT Richard nLeibertENRONDEVELOPMENTENRONDEVELOPMENT Ray BennettHOUEESEES Joseph nW SuttonENRONDEVELOPMENTENRONDEVELOPMENT George WasaffNAEnronEnron nElizabeth TilneyHOUEESEES Michael R BrownLONECTECT Andrew S nFastowHOUECTECT Billy LemmonsCorpEnronENRON Steven J nKeanHOUEESEES Diane BazelidesHOUAZURIXAZURIX Scott Yeagerees Eric nThodeCorpEnronENRON Marie HejkaCorpEnronENRON Cynthia nBarrowHRCorpEnronENRON John ThompsonLONECTECT Nigel nSellensLONECTECT David OxleyHOUECTECT Drew C LynchLONECTECT Marla nBarnardEnron CommunicationsEnron Communications robertjonesenroncom nKimberly RizziHOUECTECT Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Janie nBonnardENRONDEVELOPMENTENRONDEVELOPMENT williewilliamsenroncom Scott nGilchristENRONDEVELOPMENTENRONDEVELOPMENT Tim ORourkeCorpEnronEnron nMiguel PadronSAEnronEnron Gerry ChathamCorpEnronENRON Cindy nSkinnerHOUECTECT Ranendra SenguptaENRONDEVELOPMENTENRONDEVELOPMENTncc ksargentcognitiveartscom nnSubject Computer Based Communications Training InitiativennAs agreed in our VV meeting today I have attached two items for your reviewn1 A list of those who have been interviewed or have been part of a focus ngroup on this subjectnnThe input from individuals on this list will be the basis for developing the n57 key scenarios that will be a part of the training  Please let me know if nyou feel we should include more people from your unit to insure that your nunits unique circumstances are appropriately taken into account  If so let nus know either their names or how you would like them to be identifiednnSome of the individuals on this list will be contacted as Subject Matter nExperts to help provide real Enron contexts for the scenarios as they are nfurther developednn2 A list of the first draft objectives for the program and 10 possible nscenariosnnSince we will only be able to have a total of about 57 scenarios in the nfinal version identify the 5  7 on this list of high level scenario ideas nthat will have the most impact on improving communications and the most napplicability to a range of managers across the Enron organization  Any nother feedback you can provide on the objectives or scenarios would be ngreatly appreciatednnWe are seeking to move forward with the development of scenarios by the nbeginning of next week  Therefore if you could provide your feedback on nboth of the items above by Friday August 18th it would be greatly nappreciatednn             Dick Amabilennnn,1
bYes  Contact either Gia or John and get the ball rolling  ThanksnnnnnMichael Terrason08182000 0420 PMnTo Steven Keanncc Maureen McVicker nnSubject PLEASE READ  RESPONDnnSteve I received this note from Jeff Keeler who is on the government affairs ndistribution list  Would you also want the EHS groups to work with Gia or nJohn in developing value added documentation for this years budget process  nMiken Forwarded by Michael TerrasoOTSEnron on 08182000 n0414 PM n   ntntntFrom  Jeffrey Keeler                           08182000 0242 PMntnnTo Michael TerrasoOTSEnronENRONncc Stacey BoltonHOUEESEES Mary SchoenNAEnronEnron nnSubject PLEASE READ  RESPONDnnMike   here is a message from Steve Kean that is very relevant to the part nof our call the other day in which we discussed the need to determine what nEHS or Environmental Strategies role should be in communicating with JIm nSteffes group and documenting the value we add   I will talk to Jim but I nam planning to have my group provide this information and meet the deadline nin this memo   You may want to inquire with Steve as to whether others in nEHS should participate as wellnnJeffn Forwarded by Jeffrey KeelerCorpEnron on 08182000 n0339 PM nnnSteven J KeanEESn08182000 0239 PMnSent by Maureen McVickerEESnTo Govt Affairs wAssts Mark PalmerCorpEnronENRON Karen nDenneCorpEnronENRONncc  nnSubject PLEASE READ  RESPONDnnDear Colleaguesn nOn numerous occasions this past year Enron Government Affairs EGA support nprovided to commercial groups resulted in substantial increases in project neconomics and enhanced the overall value of many deals The Regulatory Risk nAnalytics group has been tasked to help you quantify EGAx01s portion of this nvalue added over the past year For budgetary reasons it is critical for nevery EGA member to participate in this exercise and document hisher share nof significant value added  Please contact Gia Maisashvili or John Neslage nto discuss the  methodology for determining EGAx01s value added as soon as npossible   The contact information for Gia is 713  8534346 and for John nits 713 8536827nnThe dead line for this effort is Friday  September 1stnnThank you for your cooperationnnnnn,1
bPlease forward to public affairs group  n Forwarded by Steven J KeanNAEnron on 08212000 n0739 AM nnnNailia DindarovaECTn08182000 0943 AMnTo Steven J KeanHOUEESEESncc  nnSubject EFET paper on acceleration of energy liberalisation in the EUnnPlease see attached as promised by Peter Styles just nownnnn,1
